tract,Neighborhood,City,State,Incarceration_Rate_rP_gP_pall
11001004801,Northwest Washington, Washington, DC,0.1078
11001010900,Southwest Washington, Washington, DC,0.1021
11001007401,Barry Farm, Washington, DC,0.0874
11001007407,Barry Farm, Washington, DC,0.0863
11001003302,Bloomingdale, Washington, DC,0.082
11001004901,Northwest Washington, Washington, DC,0.0804
11001008802,Northeast Washington, Washington, DC,0.0798
11001007502,Southeast Washington, Washington, DC,0.0749
11001007200,Capitol Riverfront, Washington, DC,0.0747
11001008803,Northeast Washington, Washington, DC,0.0741
11001003301,Bloomingdale, Washington, DC,0.0734
11001007406,Southeast Washington, Washington, DC,0.0724
11001004702,Northwest Washington, Washington, DC,0.0719
11001006900,Southeast Washington, Washington, DC,0.0716
11001004701,Northwest Washington, Washington, DC,0.0714
11001009802,Southeast Washington, Washington, DC,0.0706
11001009810,Southeast Washington, Washington, DC,0.0697
11001006400,Southwest Washington, Washington, DC,0.0683
11001007601,Southeast Washington, Washington, DC,0.0669
11001007408,Southeast Washington, Washington, DC,0.0667
11001008402,Northeast Washington, Washington, DC,0.0646
11001009801,Southeast Washington, Washington, DC,0.0642
11001009204,Edgewood, Washington, DC,0.0632
11001003500,Northwest Washington, Washington, DC,0.062
11001005900,Northwest Washington, Washington, DC,0.0619
11001008702,Eckington, Washington, DC,0.0618
11001010400,Southeast Washington, Washington, DC,0.0613
11001008001,Northeast Washington, Washington, DC,0.0571
11001009906,Marshall Heights, Washington, DC,0.0565
11001008903,Carver / Langston, Washington, DC,0.0565
11001007708,Southeast Washington, Washington, DC,0.0564
11001009700,Southeast Washington, Washington, DC,0.0562
11001009903,Southeast Washington, Washington, DC,0.0559
11001007901,Northeast Washington, Washington, DC,0.0548
11001009604,Northeast Washington, Washington, DC,0.0535
11001009203,Northeast Washington, Washington, DC,0.0535
11001009811,Southeast Washington, Washington, DC,0.0534
11001009501,Northeast Washington, Washington, DC,0.0525
11001007100,Southeast Washington, Washington, DC,0.0518
11001004802,Northwest Washington, Washington, DC,0.0516
11001009603,Northeast Washington, Washington, DC,0.0512
11001007806,Northeast Washington, Washington, DC,0.051
11001002202,Northwest Washington, Washington, DC,0.0504
11001007304,Congress Heights, Washington, DC,0.0501
11001006802,Barney Circle, Washington, DC,0.0498
11001007409,Southeast Washington, Washington, DC,0.0491
11001007804,Lincoln Heights, Washington, DC,0.0488
11001003600,Columbia Heights, Washington, DC,0.0482
11001007709,Fairlawn, Washington, DC,0.0472
11001007504,Historic Anacostia, Washington, DC,0.0471
11001009905,Marshall Heights, Washington, DC,0.0469
11001004400,Northwest Washington, Washington, DC,0.046
11001002102,Northwest Washington, Washington, DC,0.0453
11001006801,Hill East, Washington, DC,0.0451
11001008701,Eckington, Washington, DC,0.045
11001009907,Southeast Washington, Washington, DC,0.0445
11001002301,Northwest Washington, Washington, DC,0.0443
11001007703,Fort Dupont, Washington, DC,0.0442
11001007803,Lower Central NE, Washington, DC,0.044
11001002501,16th Street Heights, Washington, DC,0.0438
11001009602,Mayfair, Washington, DC,0.0431
11001009102,Brentwood, Washington, DC,0.0429
11001009804,Southeast Washington, Washington, DC,0.0424
11001003000,Columbia Heights, Washington, DC,0.0423
11001007404,Douglass, Washington, DC,0.0413
11001008410,Northeast Washington, Washington, DC,0.0409
11001009400,Northeast Washington, Washington, DC,0.0408
11001009904,Marshall Heights, Washington, DC,0.0403
11001009803,Congress Heights, Washington, DC,0.0402
11001004201,Northwest Washington, Washington, DC,0.0401
11001003400,Howard University, Washington, DC,0.0395
11001010500,Southwest Washington, Washington, DC,0.0392
11001004300,Northwest Washington, Washington, DC,0.0386
11001001702,Northwest Washington, Washington, DC,0.0384
11001009902,Southeast Washington, Washington, DC,0.0383
11001007605,Fairlawn, Washington, DC,0.0379
11001008002,Northeast Washington, Washington, DC,0.0375
11001007903,Kingman Park, Washington, DC,0.0375
11001003200,Northwest Washington, Washington, DC,0.0374
11001008804,Northeast Washington, Washington, DC,0.0374
11001007503,Historic Anacostia, Washington, DC,0.0373
11001009000,Fort Lincoln, Washington, DC,0.0361
11001002502,Northwest Washington, Washington, DC,0.0359
11001003100,Northwest Washington, Washington, DC,0.0358
11001002101,Brightwood Park, Washington, DC,0.0356
11001009201,Edgewood, Washington, DC,0.0355
11001011100,Northeast Washington, Washington, DC,0.0353
11001004600,Northwest Washington, Washington, DC,0.035
11001007707,Benning Ridge, Washington, DC,0.0343
11001007403,Shipley, Washington, DC,0.0342
11001009807,Bellevue, Washington, DC,0.0331
11001001803,Brightwood, Washington, DC,0.0312
11001010600,Near Northeast, Washington, DC,0.0309
11001003800,Northwest Washington, Washington, DC,0.0308
11001003700,Northwest Washington, Washington, DC,0.0308
11001009505,Northeast Washington, Washington, DC,0.0298
11001009508,Northeast Washington, Washington, DC,0.0294
11001007808,Grant Park, Washington, DC,0.029
11001009503,Northeast Washington, Washington, DC,0.0284
11001007807,Northeast Washington, Washington, DC,0.028
11001011000,Southwest Washington, Washington, DC,0.0273
11001008904,Carver / Langston, Washington, DC,0.0271
11001007603,Southeast Washington, Washington, DC,0.0269
11001009504,Michigan Park, Washington, DC,0.0269
11001001902,Manor Park, Washington, DC,0.0266
11001007604,Southeast Washington, Washington, DC,0.0264
11001001804,Brightwood, Washington, DC,0.0262
11001002900,Northwest Washington, Washington, DC,0.026
11001007809,Northeast Washington, Washington, DC,0.025
11001009601,Kenilworth, Washington, DC,0.0248
11001009301,Northeast Washington, Washington, DC,0.0242
11001010300,Northwest Washington, Washington, DC,0.024
11001001901,Brightwood, Washington, DC,0.0238
11001005002,Downtown, Washington, DC,0.0237
11001009901,Penn Branch, Washington, DC,0.0235
11001002400,Northwest Washington, Washington, DC,0.023
11001008302,Northeast Washington, Washington, DC,0.0229
11001005201,Downtown, Washington, DC,0.0226
11001009509,Michigan Park, Washington, DC,0.0219
11001006700,Southeast Washington, Washington, DC,0.0208
11001002302,Northwest Washington, Washington, DC,0.0203
11001002002,16th Street Heights, Washington, DC,0.0201
11001004902,Downtown, Washington, DC,0.019
11001009507,Northeast Washington, Washington, DC,0.0188
11001008100,Northeast Washington, Washington, DC,0.0181
11001000802,Northwest Washington, Washington, DC,0.0181
11001002001,16th Street Heights, Washington, DC,0.017
11001002702,Mount Pleasant, Washington, DC,0.0167
11001002801,Columbia Heights, Washington, DC,0.0156
11001002201,Northwest Washington, Washington, DC,0.0153
11001009302,Brookland, Washington, DC,0.0139
11001004202,Northwest Washington, Washington, DC,0.0126
11001000902,Northwest Washington, Washington, DC,0.0118
11001010200,Southwest Washington, Washington, DC,0.0112
11001002802,Columbia Heights, Washington, DC,0.0101
11001005600,Northwest Washington, Washington, DC,0.0093
11001005001,Logan Circle, Washington, DC,0.0092
11001006600,Capitol Hill, Washington, DC,0.0084
11001001600,Northwest Washington, Washington, DC,0.0077
11001008301,Northeast Washington, Washington, DC,0.0074
11001000501,Northwest Washington, Washington, DC,0.0072
11001006500,Southeast Washington, Washington, DC,0.0069
11001001401,Northwest Washington, Washington, DC,0.0067
11001001302,Forest Hills, Washington, DC,0.0067
11001001402,Northwest Washington, Washington, DC,0.0067
11001007301,Southwest Washington, Washington, DC,0.0063
11001000100,Georgetown, Washington, DC,0.0052
11001002600,Northwest Washington, Washington, DC,0.005
11001010100,Downtown, Washington, DC,0.004
11001000400,Naval Observatory, Washington, DC,0.0039
11001005301,Northwest Washington, Washington, DC,0.0039
11001000502,Northwest Washington, Washington, DC,0.0037
11001000702,Northwest Washington, Washington, DC,0.003
11001004001,Adams Morgan, Washington, DC,0.0025
11001004100,Northwest Washington, Washington, DC,0.0025
11001001002,Cathedral Heights, Washington, DC,0.0024
11001002701,Northwest Washington, Washington, DC,0.0023
11001005500,Northwest Washington, Washington, DC,0.0022
11001003900,Lanier Heights, Washington, DC,0.0011
11001000202,Georgetown, Washington, DC,0.0007
11001001100,Northwest Washington, Washington, DC,0.0006
11001007000,Southeast Washington, Washington, DC,0.0005
11001001001,American University Park, Washington, DC,0.0005
11001000901,Northwest Washington, Washington, DC,0.0005
11001000801,Northwest Washington, Washington, DC,0.0004
11001001301,Northwest Washington, Washington, DC,0.0004
11001000600,Northwest Washington, Washington, DC,0.0003
11001010800,Northwest Washington, Washington, DC,0.0002
11001008200,Northeast Washington, Washington, DC,0.0001
11001001200,Northwest Washington, Washington, DC,0
11001000300,Northwest Washington, Washington, DC,0
11001005800,Northwest Washington, Washington, DC,0
11001001500,Northwest Washington, Washington, DC,0
11001000701,Cathedral Heights, Washington, DC,0
11001004002,Adams Morgan, Washington, DC,0